Time,J,A,S,tau
0,100,100,0.566623375,9.259259259
1,81.16032652,96.17108467,0.493851003,9.054779643
2,65.83485811,92.48567268,0.429601277,8.848905534
3,53.41970131,88.93901613,0.373025623,8.641742162
4,43.40852193,85.5260945,0.323326125,8.433360213
5,35.38053952,82.24205634,0.279768368,8.223829407
6,28.98715014,79.08221424,0.241679502,8.013218364
7,23.94037971,76.04203989,0.208445813,7.801594486
8,19.98971873,73.13072592,0.188100117,7.658719963
9,16.92476494,70.36288346,0.1858975,7.651697375
10,14.60846128,67.71209729,0.183805807,7.645118578
11,12.90751247,65.17601746,0.181824719,7.638972978
12,11.71221033,62.75252369,0.179953922,7.633249604
13,10.93206846,60.43969741,0.178193111,7.627937197
14,10.49223672,58.23579105,0.176541992,7.623024315
15,10.3305228,56.13919507,0.175000281,7.618499438
16,10.39507783,54.1483028,0.173567709,7.61435108
17,10.64253862,52.26131475,0.172244022,7.610567904
18,11.03611295,50.47659516,0.17102898,7.607138837
19,11.54448795,48.79246113,0.169922359,7.604053188
20,12.140893,47.20713038,0.168923952,7.601300759
21,12.80235538,45.71868608,0.168033568,7.598871958
22,13.50912345,44.32504688,0.167251031,7.596757906
23,14.24423268,43.0239436,0.166576185,7.594950532
24,14.99322693,41.81290519,0.166008885,7.593442667
25,15.74377455,40.68925481,0.165549006,7.592228124
26,16.4856111,39.65011021,0.165196436,7.591301771
27,17.21028108,38.69239287,0.164951078,7.590659583
28,17.91097361,37.81284502,0.164812852,7.590298691
29,18.58238296,37.0080544,0.164781689,7.590217409
30,19.22056591,36.27448467,0.164857537,7.590415254
31,19.82279036,35.60851012,0.165040354,7.590892968
32,20.38733732,35.00645408,0.165330114,7.59165244
33,20.91351518,34.46462881,0.165726803,7.592696754
34,21.40118129,33.97936574,0.166230418,7.594030121
35,21.85079481,33.54705416,0.166840971,7.595657794
36,22.26337924,33.16417498,0.167558486,7.597586021
37,22.64030953,32.82733151,0.168382995,7.599822
38,22.98311245,32.533264,0.169314548,7.60237374
