Time,J,A,S,tau
0,100,100,0.997302075,5.555555556
1,99.74879006,97.89590195,0.995406328,5.290511858
2,99.45962265,95.76490917,0.99313822,4.999445878
3,99.12763052,93.60989442,0.990445037,4.68220979
4,98.74740873,91.43267731,0.987265281,4.338473584
5,98.31330267,89.23536504,0.985036417,4.182747098
6,97.8199862,87.02022625,0.983036905,4.097097076
7,97.2633931,84.78976738,0.980790169,4.013973414
8,96.64267539,82.54704391,0.978269412,3.933311717
9,95.96333203,80.29601666,0.975445522,3.85505778
10,95.2419505,78.04221644,0.972287187,3.779166627
11,94.51623517,75.79440026,0.968760534,3.705607153
12,93.85822949,73.56731766,0.96482916,3.634364888
13,93.39392678,71.38705767,0.960453954,3.565447227
14,93.32407167,69.30019049,0.955592927,3.498890156
15,93.93442524,67.38915853,0.950200908,3.434767784
16,95.55938124,65.79569654,0.944229093,3.373204993
17,98.43276811,64.75183205,0.937624309,3.314394299
18,102.3567645,64.6089511,0.930327873,3.258618042
19,106.2669082,65.83330633,0.922273812,3.206277165
20,108.1546874,68.89936269,0.913386179,3.157928228
21,106.0070941,73.99402734,0.903575089,3.114330035
22,99.45445018,80.56945863,0.892731042,3.076501233
23,90.39262985,87.15621064,0.880717054,3.045789643
24,81.64805795,92.03151752,0.867358183,3.023952866
25,75.13722789,94.40317317,0.852428314,3.013247447
26,71.43184638,94.72872771,0.835634699,3.016520691
27,70.58347296,93.98111965,0.816602049,3.037293595
28,72.71384075,93.02933631,0.794859886,3.079818135
29,77.87108181,92.52508689,0.769839798,3.14908485
30,85.59031847,92.93501974,0.740892342,3.250752368
31,94.68859003,94.50485916,0.707335613,3.390971122
32,103.6541487,97.17262878,0.668545993,3.576084107
33,111.4830016,100.5296165,0.624093748,3.812209828
34,118.3296327,103.9125766,0.573909677,4.104745636
35,125.5422394,106.6125244,0.518447165,4.457864645
36,135.3014577,108.0874833,0.458786287,4.874098801
37,150.3027926,108.0725116,0.396626415,5.354095236
38,173.6547483,106.5685201,0.334138994,5.896597456
39,208.8562822,103.7614116,0.273698194,6.498646944
40,259.6076672,99.92970032,0.217551581,7.1559506
41,329.2708678,95.37210095,0.167514322,7.863330608
42,419.9681034,90.36225492,0.124760487,8.615173335
43,531.5339631,85.12643293,0.089748809,9.405815261
44,660.7088584,79.83746376,0.062277984,10.2298335
45,800.9498031,74.61843557,0.041631738,11.08223579
46,943.0772501,69.55113103,0.026774554,11.95856252
47,1076.628644,64.68587858,0.016543881,12.85492065
48,1191.550266,60.05066384,0.009807677,13.76797106
49,1279.763433,55.65852403,0.005570507,14.69488761
50,1336.227666,51.51300152,0.003026946,15.63330188
51,1359.320827,47.61187331,0.001571385,16.58124327
52,1350.570788,43.94954524,0.000778268,17.53708041
53,1313.928463,40.51850875,0.000367254,18.4994672
54,1254.830518,37.31019107,0.000164914,19.46729504
55,1179.283409,34.31543859,0,20.43965162
56,1093.119903,31.52479215,0,21.41578614
57,1001.49938,28.92864992,0,22.39508014
58,908.6468377,26.51737208,0,23.37702352
59,817.784276,24.28135576,0,24.36119471
60,731.1919214,22.21109401,0,25.34724453
61,650.3407423,20.2972254,0,26.33488299
62,576.0509691,18.53057662,0,27.32386856
63,508.6466306,16.90219936,0,28.31399944
64,448.1176494,15.40340563,0,29.30510641
65,394.1971409,14.02579162,0,30.29704711
66,346.4706526,12.76126062,0,31.28970123
67,304.4424247,11.60204114,0,32.28296673
68,267.5751459,10.54070006,0,33.27675661
69,235.3348673,9.570153702,0,34.27099638
70,207.2033475,8.683672566,0,35.26562187
71,182.6926542,7.874883159,0,36.26057749
72,161.3637044,7.137769591,0,37.25581474
73,142.8137766,6.466668651,0,38.25129103
74,126.6835386,5.856264357,0,39.24696858
75,112.6578161,5.301580711,0,40.24281361
76,100.4545729,4.797970827,0,41.23879557
77,89.83352928,4.341107425,0,42.23488647
78,80.5804466,3.926969272,0,43.23106036
79,72.51221458,3.551828948,0,44.22729279
80,65.47045144,3.212238408,0,45.22356038
81,59.31682726,2.905014864,0,46.21984034
82,53.93390317,2.627226665,0,47.21611012
83,49.21966165,2.376178178,0,48.21234696
84,45.08642267,2.149395407,0,49.2085275
85,41.45977303,1.944612432,0,50.20462734
86,38.27452672,1.759757063,0,51.20062056
87,35.47482878,1.592937016,0,52.19647925
88,33.01256446,1.442426889,0,53.1921729
89,30.84692738,1.306654793,0,54.18766777
90,28.9425518,1.184192155,0,55.18292611
91,27.26890565,1.073741835,0,56.17790529
92,25.80023825,0.974126907,0,57.17255671
93,24.5139078,0.884281255,0,58.16682455
94,23.39057638,0.803239942,0,59.16064426
95,22.41373016,0.730130433,0,60.15394066
96,21.56932006,0.664164458,0,61.14662571
97,20.84525123,0.604630492,0,62.13859571
98,20.23124325,0.550886737,0,63.12972792
99,19.71861805,0.502354679,0,64.11987628
100,19.30011408,0.458513173,0,65.10886621
101,18.96976488,0.418893006,0,66.09648798
102,18.72284258,0.383071914,0,67.08248855
103,18.55527797,0.350670135,0,68.06656111
104,18.46417805,0.321346157,0,69.04833204
105,18.44756994,0.294792971,0,70.02734415
106,18.50393028,0.270734731,0,71.00303538
107,18.63276121,0.248923548,0,71.97471133
108,18.83399688,0.229136773,0,72.94150967
109,19.1086058,0.21117434,0,73.90235404
110,19.45772544,0.194856591,0,74.85589389
111,19.88340464,0.180022147,0,75.80042268
112,20.38812239,0.166526007,0,76.73377417
113,20.97509927,0.154237936,0,77.65317276
114,21.64770387,0.143040935,0,78.55504078
115,22.41042867,0.132829789,0,79.43471899
116,23.26783546,0.123510002,0,80.28606793
117,24.22516179,0.114996551,0,81.10090168
118,25.28822035,0.107212984,0,81.86808361
119,26.46309754,0.100090532,0,82.57212286
120,27.75637392,0.093567281,0,83.19078361
121,29.17506062,0.087587497,0,83.69058702
122,30.72634322,0.082101002,0,84.01762861
123,32.41787916,0.077062529,0,84.07647969
124,34.25747737,0.07243129,0,83.66858673
125,36.25312499,0.068170474,0,82.25127634
126,38.41283568,0.064246866,0,76.90348848
127,40.74463835,0.060634332,0,14.35776563
128,43.26317005,0.057403358,0,8.279451517
129,45.99166077,0.054499135,0,6.14819829
130,48.94306483,0.05184022,0,5.005722644
131,52.1252807,0.049389298,0,4.304572796
132,55.54490209,0.047123949,0,3.847055104
133,59.20822314,0.04502794,0,3.539985017
134,63.12138138,0.043087424,0,3.332349508
135,67.29021109,0.041290104,0,3.193414904
136,71.72009346,0.039624924,0,3.103417673
137,76.41582703,0.03808185,0,3.049050156
138,81.38151,0.036651721,0,3.021050686
139,86.62044873,0.035326149,0,3.012821259
140,92.13508019,0.034097436,0,3.019582537
141,97.92691127,0.032958513,0,3.03783454
142,103.9965093,0.031902883,0,3.064992812
143,110.3434398,0.030924574,0,3.099145141
144,116.9662882,0.030018091,0,3.138871697
145,123.8626705,0.029178381,0,3.18312048
146,131.0292444,0.02840079,0,3.23111431
147,138.46173,0.027681036,0,3.282281721
148,146.1549273,0.027015175,0,3.336206177
149,154.1027866,0.026399576,0,3.392587083
150,162.2984674,0.025830883,0,3.451209752
151,170.7343501,0.025306001,0,3.511924783
152,179.4020652,0.024822071,0,3.574631866
