Time,J,A,S,tau
0.0,100.0,100.0,0.6462304299207573,31.25
1.0,106.9414759595621,98.165576077816,0.6444923202103002,31.570969664087798
2.0,113.8694989635917,96.36256134454618,0.6427675454808512,31.890297617920478
3.0,120.7772490017464,94.59034885661747,0.641056991687011,32.20780728839214
4.0,127.66021599754532,92.84841335056166,0.639360619540951,32.523476304689225
5.0,134.51476500867878,91.13608710465229,0.6376794230156304,32.837121010552835
6.0,141.3368815932086,89.45284814250579,0.6360135412318855,33.14869077364147
7.0,148.1228983691899,87.79815368053043,0.6343632789673462,33.45810580450929
8.0,154.86905584959806,86.171505114939,0.6327287346211755,33.76531915302879
9.0,161.57223003038004,84.57230028295001,0.6311109196739646,34.07014477403419
10.0,168.2286511817307,83.00009434338801,0.6295097447288437,34.37256495310156
11.0,174.8354029763377,81.45433237941184,0.6279260421307433,34.672418504180214
12.0,181.3893221237964,79.93455380027517,0.6263600447919999,34.96963809327198
13.0,187.88736973889002,78.44031340281957,0.6248119574065941,35.264161378834196
14.0,194.3270210927737,76.97111783731292,0.6232823960388324,35.55585826505
15.0,200.70555261354707,75.52650259839017,0.6217718835848199,35.844614455281764
16.0,207.0202598205897,74.10604476225595,0.6202807217602766,36.130351756992006
17.0,213.26866454601623,72.70930964168272,0.6188094223071957,36.412959974675644
18.0,219.44854194092858,71.33591032638128,0.617358029684089,36.692395420819686
19.0,225.55708180512732,69.9854345839708,0.6159270633346093,36.96854835125841
20.0,231.5933274917134,68.65745225374638,0.6145171618344164,37.2412825649598
21.0,237.55395957856507,67.35160691752671,0.6131284971101275,37.5105418626813
22.0,243.43918723369313,66.06748451620557,0.6117617442829474,37.77618392062505
23.0,249.24631397404727,64.80473746162808,0.6104171505923492,38.038139932502396
24.0,254.9738021347545,63.56300396807634,0.6090951327142449,38.29631197732512
25.0,260.6201337186645,62.34193019680901,0.6077961153286616,38.55060096319649
26.0,266.18416976905644,61.141172807392856,0.6065205124759261,38.80091012455307
27.0,271.66432888565924,59.960398998626815,0.6052687577860782,39.04714197897298
28.0,277.0592690983744,58.79929712710871,0.6040410021888855,39.289237569315425
29.0,282.37026030053994,57.657522272106114,0.6028379174893184,39.52705913851352
30.0,287.5943956772064,56.5347724722916,0.6016598134545881,39.76052787646744
31.0,292.7330138349683,55.43072504372032,0.6005073287525774,39.98951336068459
32.0,297.7845380284124,54.34510551253787,0.5993805183254994,40.21397338153119
33.0,302.75035198678313,53.27760149827864,0.5982800467448172,40.43377305979867
34.0,307.6293559887293,52.22792919143416,0.5972063021887012,40.64882102469556
35.0,312.42190090794793,51.195822680532004,0.5961595734536604,40.85904460034009
36.0,317.1284808796231,50.18100147334139,0.5951403350431088,41.0643384659394
37.0,321.74973160633687,49.18319822022273,0.5941489963312333,41.26460930644602
38.0,326.2876174039766,48.20213165791986,0.5931862383228037,41.459720927249904
39.0,330.742155162834,47.23757291821136,0.5922520913831611,41.64964095468293
40.0,335.1159442851887,46.2892583081712,0.5913470890744581,41.834254997086454
41.0,339.4099964605658,45.35693978626942,0.5904717478290583,42.013458176788006
42.0,343.6266155347689,44.440385725843,0.589626268869629,42.18718926189129
43.0,344.20411188888914,46.76737131359799,0.5901531324453264,42.08624323073549
44.0,337.49375011733076,54.642331998038856,0.5918502385310594,41.743563499396934
45.0,333.6150836489828,58.45026444040572,0.5928133618748649,41.55617590783711
46.0,328.90165453487316,62.19926986006806,0.5936229167558084,41.397353548899495
47.0,323.3576867708364,65.99605842576959,0.594815548392578,41.16625956215602
48.0,312.02352181751445,74.60532111943228,0.5967275728452244,40.784300778441455
49.0,304.97756459933237,78.18905604164028,0.5978440277024494,40.57029060329627
50.0,297.59488173396585,81.69280844565813,0.5987179647507925,40.40143262628377
51.0,289.74318177584985,85.31842617558488,0.6000111183010881,40.15432929126088
52.0,276.6857128201956,93.73784906990922,0.6020212055638314,39.75939213873544
53.0,268.4699815526862,97.03019686239588,0.6031456953176039,39.54698878393215
54.0,260.19098798084536,100.24219281981424,0.604092406546324,39.36713764668626
55.0,250.4751425860869,104.77527097363108,0.6056829750815782,39.064979531614256
56.0,238.14183555801657,111.78696694245433,0.6076200961209242,38.69299232074676
57.0,229.79041101185328,114.7537544641114,0.6086709703295641,38.49670515010888
58.0,221.49505917915087,117.63917667987067,0.609748099436757,38.296202569707106
59.0,208.7725833362177,124.92676222025183,0.6117951504466422,37.90681590657366
60.0,199.66620961817188,128.57437399621074,0.6133753540051884,37.61389556586179
61.0,191.59581841187315,131.19320034031853,0.6143803681077128,37.42776467616469
62.0,183.50410507786233,133.84795179321216,0.6157508747955703,37.176984055242436
63.0,170.2956221015735,141.6266851100405,0.6179817892837356,36.75787159475618
64.0,162.52741080573065,143.97888549089473,0.6192071698659403,36.535484036836976
65.0,154.87732857165315,146.2367790013139,0.6202617062554072,36.342963419264414
66.0,144.48255683506858,151.26312679667535,0.6221594085981484,35.99449966158795
67.0,134.43434750936274,155.95799356556938,0.6240306527636883,35.652790210747995
68.0,127.12813461103563,157.93710798552667,0.625081131815159,35.46237198166666
69.0,119.91740068751847,159.84898897783992,0.6263072791217288,35.24232304133756
70.0,107.5562261464276,166.93496533465105,0.6285527330579167,34.83067908394512
71.0,100.41206807242503,168.82546050084287,0.6299531930560395,34.580976841794374
72.0,93.55930473706104,170.454518428017,0.630944540391498,34.400986362729256
73.0,86.40757646943057,172.41292318237942,0.6324051919942517,34.140414727666254
74.0,74.73611204106612,178.913592245702,0.6345710615163183,33.747136544734325
75.0,68.19863470256352,180.30737279934996,0.6357191269118938,33.541416836314234
76.0,61.7820365835971,181.61199796736662,0.6366679899670342,33.36761811453993
77.0,55.53538711886302,182.7828646241386,0.6381921657787022,33.09456046195995
78.0,48.34923904823741,184.9362022367109,0.6401821171449218,32.73396442482949
79.0,44.97202716847957,183.3372711794316,0.6412140360586512,32.5452058391215
80.0,42.137219888439866,181.26059096926508,0.6420477729064842,32.38685471063402
81.0,39.981760300606815,178.57612769292908,0.6432551406525103,32.165762943896226
82.0,37.143580139708,176.6489308938252,0.6451475278173577,31.817416886122633
83.0,35.81181616350317,173.2930849822801,0.6462313073308413,31.614349419939675
84.0,34.778273342646976,169.72021865516012,0.6469123269878683,31.47427137938929
85.0,33.87425902406907,166.1005719213472,0.6475985719138756,31.331211903973117
86.0,33.07102024187958,162.46296417911347,0.648682421932099,31.119653243432467
87.0,32.23044894305624,158.945158476594,0.6501709846719429,30.830267385819017
88.0,31.658003100415584,155.24182474605064,0.6510000215171836,30.656002748368927
89.0,31.120554742769897,151.58556955996775,0.6514412762982595,30.540701120348196
90.0,30.622562681029933,147.97118633046304,0.6517614790883683,30.440922537136153
91.0,30.145878334174228,144.41590718464312,0.65206986860899,30.339330027943245
92.0,29.684088552063702,140.92506480821868,0.6524853482289907,30.216853530682037
93.0,29.233922885881736,137.5007813619283,0.6531122137194219,30.052197472854964
94.0,28.793069349504524,134.1442063036803,0.6537365176704426,29.88077523377588
95.0,28.366966959862523,130.84885214694123,0.6540275766936686,29.76332778196076
96.0,27.94807272942765,127.6212566825321,0.6540397473587203,29.687009047176172
97.0,27.535531525784197,124.46115036074514,0.6538762055270225,29.633388118407176
98.0,27.12879671400448,121.36804944216723,0.6535894362445602,29.594032126359785
99.0,26.727811156165977,118.34100071267925,0.6532049646295948,29.565145981745395
100.0,26.332751760989176,115.3789260053704,0.6527324766433794,29.54521560838809
