Time,J,A,S,tau,r
0.0,1.0,1.0,0.9639140432183335,10.0,0.0
1.0,4652.504223154355,58.55109313094697,0.9636008684855065,10.302974777025877,0.5867136374474008
2.0,17868.53424089029,115.83041666943994,0.9632369273358957,10.581874191575864,0.5967402010207763
3.0,37775.01920441742,172.7463622650898,0.9628170784090592,10.836238120343278,0.6068794011329018
4.0,61608.25258614368,229.2011164342942,0.9623357301869547,11.065654839301821,0.6171191795970845
5.0,86563.90100195982,285.0902853503153,0.9617867888699687,11.269772050407365,0.6274454538292074
6.0,110549.70676454024,340.3025123587578,0.9611636174240791,11.448309143778603,0.6378419363787654
7.0,132500.6945986093,394.71940016065815,0.9604589913855767,11.601067101747471,0.6482903846537624
8.0,152225.37560551884,448.21564639995796,0.959665077293816,11.727936789593036,0.6587708339538163
9.0,170021.6980070185,500.659389743771,0.9587734012797506,11.828906282411946,0.6692617574220189
10.0,186331.59933953377,551.913135336862,0.9577748446838201,11.904061698353585,0.6797406794267239
11.0,201550.5731032631,601.8357239771477,0.9566597191918884,11.953577155681305,0.6901852849188811
12.0,215977.71865173292,648.4240139942398,0.9554599306454323,11.858668992372243,0.6990214755859155
13.0,217990.5852435462,9512.474702818095,0.9544791411040477,11.525412811865444,0.8288495424432158
14.0,202074.9215286689,35534.34497143041,0.9536269546595458,11.266243998609445,1.0216823244206348
15.0,191387.16184115197,56576.73597229769,0.9523301264668276,10.693691697951788,1.1365496665471457
16.0,169668.65650217808,88019.42793090179,0.9514446772189579,10.473029444149343,1.3992311069706582
17.0,152101.87985759482,113700.28792125244,0.950381509742737,10.246259648029556,1.6462029068248847
18.0,145032.5213641453,125940.35082796936,0.9487857099486188,9.778449448175039,1.8202974063838218
19.0,129376.57735702599,142498.7842430661,0.947467920870722,9.572044048327065,2.083093211659172
20.0,119256.1378153806,148838.12278126768,0.9465035838380192,9.40643120952168,2.4885184309046737
21.0,100386.77129130902,159804.4144232453,0.9450504913166236,9.215785964821087,2.78746857996924
22.0,88093.75735761209,161367.4343935468,0.9430893367785592,8.881373108214596,3.0383785229243325
23.0,70557.8110596189,166765.63707463996,0.9411918871768284,8.680268142094748,3.320203539575023
24.0,56220.29820426663,168169.6264512151,0.9397667790843075,8.542177510476364,3.736705592828399
25.0,41087.42672422899,169770.97319598918,0.9384936890253085,8.419061085612528,4.198170052346487
26.0,26858.144756227175,169972.1131175441,0.9368633858656387,8.286864654057277,4.608988734219753
27.0,14949.376391218455,167579.87232637726,0.9346841247260079,8.11810325637755,4.933028729285139
28.0,1966.8394112717879,166320.31545755625,0.9322138661927205,7.899102516735773,5.246728608008506
29.0,17.898433459099085,154437.75835085666,0.9298051882203859,7.7415124700729745,5.574120825158737
30.0,-588.8134530380413,141883.92031584494,0.9277406348286364,7.626228594012108,5.979711972404861
31.0,-689.2000709137718,129587.05889373811,0.9260003034440247,7.529876146110487,6.412386819254558
32.0,-692.2835176013052,117973.16930605409,0.9243378145741673,7.4398425609853645,6.822043118679219
33.0,-684.0670750630487,107114.04007041838,0.9224520748698259,7.347093036513893,7.222532479481609
34.0,-675.0305282119235,96998.78425610397,0.9201444267668379,7.242590108643976,7.589147831554139
35.0,-665.7186284819347,87604.00018450728,0.9174069637811592,7.116575272226776,7.890892138518854
36.0,-656.1445663428993,78903.94105488432,0.9144051002125629,6.969704520606728,8.167070079684192
37.0,-646.3106801308126,70871.24726814571,0.911363564141237,6.835902734620516,8.437379372299542
38.0,-636.220358801671,63477.27961330969,0.9084999904836455,6.72995649103333,8.735483573717701
39.0,-625.8780500928877,56692.3450397825,0.9059455010276923,6.643891345702968,9.058712426279003
40.0,-615.2890379057606,50485.863776361395,0.9036946034339289,6.5694925659161525,9.345810155577812
41.0,-604.4593872124719,44826.608073996555,0.9016248125269452,6.501056390459965,9.595936043242947
42.0,-593.3962645105738,39683.02951161897,0.899550373473026,6.434501402943856,9.826346263385686
43.0,-582.1079541238681,35023.49995656291,0.8972834445501913,6.366400560549594,10.050718383599879
44.0,-570.6037294084161,30816.50785454841,0.8946871613739397,6.293318471543741,10.279602297443994
45.0,-558.8940448684112,27030.925134696292,0.8917105484202323,6.2115984620751155,10.503470593761094
